SrNo,Juz,JuzNameArabic,JuzNameEnglish,SurahNo,SurahNameArabic,SurahNameEnglish,SurahMeaning,WebLink,Classification,AyahNo,EnglishTranslation,OrignalArabicText,ArabicText,ArabicWordCount,ArabicLetterCount
1,1,الم,Alif Lam Meem,1,الفاتحة,Al-Fatiha,The Opening,https://quran.com/1/1,Makki,1,"In the name of Allah, Most Gracious, Most Merciful.",بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,بسم الله الرحمن الرحيم,4,19
2,1,الم,Alif Lam Meem,1,الفاتحة,Al-Fatiha,The Opening,https://quran.com/1/2,Makki,2,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,الحمد لله رب العالمين,4,18
3,1,الم,Alif Lam Meem,1,الفاتحة,Al-Fatiha,The Opening,https://quran.com/1/3,Makki,3,"Most Gracious, Most Merciful;",الرَّحْمَٰنِ الرَّحِيمِ,الرحمن الرحيم,2,12
4,1,الم,Alif Lam Meem,1,الفاتحة,Al-Fatiha,The Opening,https://quran.com/1/4,Makki,4,Master of the Day of Judgment.,مَالِكِ يَوْمِ الدِّينِ,مالك يوم الدين,3,12
5,1,الم,Alif Lam Meem,1,الفاتحة,Al-Fatiha,The Opening,https://quran.com/1/5,Makki,5,"Thee do we worship, and Thine aid we seek.",إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,إياك نعبد وإياك نستعين,4,19
6,1,الم,Alif Lam Meem,1,الفاتحة,Al-Fatiha,The Opening,https://quran.com/1/6,Makki,6,"Show us the straight way,",اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,اهدنا الصراط المستقيم,3,19
7,1,الم,Alif Lam Meem,1,الفاتحة,Al-Fatiha,The Opening,https://quran.com/1/7,Makki,7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,9,44
8,1,الم,Alif Lam Meem,2,البقرة,Al-Baqara,The Cow,https://quran.com/2/1,Medani,1,A. L. M.,الم,الم,1,3
9,1,الم,Alif Lam Meem,2,البقرة,Al-Baqara,The Cow,https://quran.com/2/2,Medani,2,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;",ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ,ذلك الكتاب لا ريب ۛ فيه ۛ هدًى للمتقين,9,30
10,1,الم,Alif Lam Meem,2,البقرة,Al-Baqara,The Cow,https://quran.com/2/3,Medani,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;",الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,8,47
11,1,الم,Alif Lam Meem,2,البقرة,Al-Baqara,The Cow,https://quran.com/2/4,Medani,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,12,52
12,1,الم,Alif Lam Meem,2,البقرة,Al-Baqara,The Cow,https://quran.com/2/5,Medani,5,"They are on (true) guidance, from their Lord, and it is these who will prosper.",أُولَٰئِكَ عَلَىٰ هُدًى مِنْ رَبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,أولئك على هدًى من ربهم ۖ وأولئك هم المفلحون,9,35
13,1,الم,Alif Lam Meem,2,البقرة,Al-Baqara,The Cow,https://quran.com/2/6,Medani,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,11,47
14,1,الم,Alif Lam Meem,2,البقرة,Al-Baqara,The Cow,https://quran.com/2/7,Medani,7,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,ختم الله على قلوبهم وعلى سمعهم ۖ وعلى أبصارهم غشاوة ۖ ولهم عذاب عظيم,14,55
15,1,الم,Alif Lam Meem,2,البقرة,Al-Baqara,The Cow,https://quran.com/2/8,Medani,8,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",وَمِنَ النَّاسِ مَنْ يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُمْ بِمُؤْمِنِينَ,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,11,47
